text,true_label,pred_label
Why I'm So Angry at the Call of the Duty Robot,Negative,Positive
Guys.. I'm m really fucking HYPED for,Positive,Irrelevant
"Help me and find a valuable prize from many.fans. I. @maxoak (Facebook), Kelly (Twitter) wn.nr/yV8hKb",Irrelevant,Neutral
"@ GhostRecon great work on the Terminator event, I really enjoy it.",Neutral,Positive
we,Irrelevant,Positive
crazy audio immersion in the new call of duty pic.twitter.com/vFtlJ5Ljcp,Negative,Positive
Hey.,Irrelevant,Negative
and every,Positive,Negative
". For the love of heaven, please, PLEASE..",Irrelevant,Positive
I think that both myself and my brother @ andrethough need one of these limited RTX 2080 Ti to be able to play Cyberpunk 2077 in all its glory when it comes out! We are both so excited about this release! CAN'T WAIT!...,Irrelevant,Positive
"Okay, now my favorite team",Irrelevant,Positive
be,Negative,Positive
just,Negative,Positive
<unk> for,Irrelevant,Positive
"Damn this just really went out into the blue to get me in apex of :,) Legend at its finest",Irrelevant,Neutral
<unk>'m in agreement with this name | <unk>ا<unk> <unk> ا<unk>... @CallofDuty is,Positive,Irrelevant
"Bitch, who took responsibility for you?.",Irrelevant,Negative
"Loved the Suikoden series, really interested in this",Irrelevant,Positive
"Nvidia does some shady shit, but you gotta read them credit for always bringing the new features.",Neutral,Negative
"plus, why does it not fucking probably matter if a two games have the exact same thing in it? Why would anyone fuck care????",Neutral,Negative
The Flatline of Red Dead Redeeming 2: (pic.wikipedia.org / K4siQ1VvNM,Negative,Neutral
Now it is.,Negative,Positive
In what world is this not epic? Loving @ screwed up Odyssey while I wait for fix and content,Neutral,Negative
<unk>.,Negative,Positive
"Amazon prime, I tell you....",Positive,Negative
Looks like we felt good.,Negative,Positive
Great buzz word: @Nokia partnership with @Verizon.  for,Neutral,Positive
S I C K . ,Negative,Positive
 ,Negative,Positive
I<unk>,Negative,Positive
"2025: GPT5 added to video calls, you start the call and leave it until the end. 2037: notification: ""you made the call. That was good.""",Neutral,Negative
.  Bubzjki loses it after dying  ,Neutral,Negative
and,Negative,Positive
low key miss the importance of home depot,Positive,Negative
We are nearing the finale of the  . . The  . . Take a look!. . . millenium.us.org/news/19379.html,Irrelevant,Neutral
Holy shit! . ,Positive,Negative
Always . ,Positive,Irrelevant
Is Battlefield 1 a good game and why?,Negative,Positive
 ,Neutral,Positive
"@ DotACapitalist Yo, why don't you tweet @ BanKsEsports about @ lChaloner? They were both part of the Dota 2 scene as we all know.",Neutral,Irrelevant
"If the sky wasn't so shit, we wouldn't have excuses",Irrelevant,Negative
Aiiight . ,Neutral,Positive
Happy Home Depot 2012 to each of you! <unk>.,Positive,Negative
Booo Ho [UNK],Negative,Positive
Игра.........................................................................................................................................................................................,Neutral,Positive
I'd rather a delayed launch than a broken game,Neutral,Negative
Amazing was how toxic the FIFA community is also in August. Congrats @EASPORTSFIFA for creating one of still the six most toxic scientific communities.... Put right across up there with CSGO and possibly RB6.,Negative,Irrelevant
The cartel doesn't stand such a chance alone against us,Neutral,Negative
"Reading this FUCKING HURT, I can't wait until September bro.",Negative,Positive
"I'm on the phone with Verizon, and they want me to restart the phone, and I said I'd finish this chess game.",Neutral,Negative
